;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito;result
8744;Femenino;industria;tienda;san jose de la cima no. ;2;3.0;11/05/2018;1500000;microempresarial;"Femenino; industria; tienda; san jose de la cima no. ; 2; 3.0; 43231; 1500000; microempresarial"
8745;Femenino;servicio;comidas rapidas;belalcazar;3;5.0;26/09/2016;5000000;microempresarial;"Femenino; servicio; comidas rapidas; belalcazar; 3; 5.0; 42639; 5000000; microempresarial"
8746;Femenino;industria;cafeteria;santo domingo savio ;1;1.0;22/06/2018;1000000;microempresarial;"Femenino; industria; cafeteria; santo domingo savio ; 1; 1.0; 43273; 1000000; microempresarial"
8747;Femenino;servicio;peluqueria;aranjuez;2;4.0;25/05/2017;6000000;MICROEMPRESARIAL;"Femenino; servicio; peluqueria; aranjuez; 2; 4.0; 42880; 6000000; MICROEMPRESARIAL"
8748;Masculino;servicio;restaurante;belencito;2;13.0;7/05/2018;$ 2,000,000.00;microempresarial;"Masculino; servicio; restaurante; belencito; 2; 13.0; 43227; $ 2,000,000.00; microempresarial"
8749;Masculino;industria;fabrica de ;santa rosa de lima;3;13.0;24/10/2017;7000000;microempresarial;"Masculino; industria; fabrica de ; santa rosa de lima; 3; 13.0; 43032; 7000000; microempresarial"
8750;Femenino;comercio;Tienda;santo domingo savio ;1;1.0;7/11/2018;6000000;microempresarial;"Femenino; comercio; Tienda; santo domingo savio ; 1; 1.0; 43411; 6000000; microempresarial"
8751;Femenino;industria;fabrica de ;manrique oriental;1;3.0;17/04/2018;2300000;microempresarial;"Femenino; industria; fabrica de ; manrique oriental; 1; 3.0; 43207; 2300000; microempresarial"
8752;Femenino;industria;fabrica de arepas;robledo;2;7.0;21/05/2016;6890000;microempresarial;"Femenino; industria; fabrica de arepas; robledo; 2; 7.0; 42511; 6890000; microempresarial"
8753;Masculino;comercio;tienda de helados;belen;2;16.0;27/04/2018;7000000;Microempresarial;"Masculino; comercio; tienda de helados; belen; 2; 16.0; 43217; 7000000; Microempresarial"
8756;Femenino;industria;fabrica de ;villatina;2;8.0;20/06/2017;3000000;microempresarial;"Femenino; industria; fabrica de ; villatina; 2; 8.0; 42906; 3000000; microempresarial"
8757;Femenino;servicio;peluqueria;ENCISO;2;8.0;5/03/2019;8000000;microempresarial;"Femenino; servicio; peluqueria; ENCISO; 2; 8.0; 43529; 8000000; microempresarial"
8758;Femenino;comercio;comidas rapidas;CABECERA SAN CRISTOBAL;3;60.0;27/05/2019;7200000;microempresarial;"Femenino; comercio; comidas rapidas; CABECERA SAN CRISTOBAL; 3; 60.0; 43612; 7200000; microempresarial"
8759;Masculino;comercio;variedades;manrique oriental;2;3.0;28/01/2019;8200000;microempresarial;"Masculino; comercio; variedades; manrique oriental; 2; 3.0; 43493; 8200000; microempresarial"
8760;Femenino;comercio;restaurante;boston;3;10.0;20/09/2018;6000000;microempresarial;"Femenino; comercio; restaurante; boston; 3; 10.0; 43363; 6000000; microempresarial"
8761;Femenino;comercio;productos de belleza;manrique central no. 1;2;4.0;8/05/2017;7377000;microempresarial;"Femenino; comercio; productos de belleza; manrique central no. 1; 2; 4.0; 42863; 7377000; microempresarial"
8762;Femenino;industria;fabrica de ;santo_domingo_savio_;1;1.0;10/01/2017;7000000;microempresarial;"Femenino; industria; fabrica de ; santo_domingo_savio_; 1; 1.0; 42745; 7000000; microempresarial"
8763;Masculino;industria;fabrica de ;san javier no.1;3;13.0;15/09/2017;7370000;microempresarial;"Masculino; industria; fabrica de ; san javier no.1; 3; 13.0; 42993; 7370000; microempresarial"
8764;Femenino;comercio;almacen de ropa en ;robledo;3;7.0;21/03/2019;7500000;microempresarial;"Femenino; comercio; almacen de ropa en ; robledo; 3; 7.0; 43545; 7500000; microempresarial"
8765;Femenino;servicio;variedades;belen;3;16.0;19/12/2016;236674;microempresarial;"Femenino; servicio; variedades; belen; 3; 16.0; 42723; 236674; microempresarial"
8766;Masculino;industria;carpinteria;manrique oriental;1;3.0;10/04/2018;3000000;microempresarial;"Masculino; industria; carpinteria; manrique oriental; 1; 3.0; 43200; 3000000; microempresarial"
8767;Femenino;comercio;variedades;villa hermosa;2;8.0;17/07/2018;7800000;microempresarial;"Femenino; comercio; variedades; villa hermosa; 2; 8.0; 43298; 7800000; microempresarial"
